model,section_index,section_title,article,article_title,similarity
Ikea Knowledgegraph,1,1. Who is the responsible controller for the data processing and whom you may contact?,30,Records of processing activities,0.3899
Ikea Knowledgegraph,1,1. Who is the responsible controller for the data processing and whom you may contact?,14,Information to be provided where personal data have not been obtained from the data subject,0.3697
Ikea Knowledgegraph,1,1. Who is the responsible controller for the data processing and whom you may contact?,13,Information to be provided where personal data are collected from the data subject,0.3528
Ikea Knowledgegraph,1,1. Who is the responsible controller for the data processing and whom you may contact?,77,Right to lodge a complaint with a supervisory authority,0.3472
Ikea Knowledgegraph,1,1. Who is the responsible controller for the data processing and whom you may contact?,24,Responsibility of the controller,0.3257
Ikea Knowledgegraph,2,2. What data is being processed and from which sources do these stem from?,14,Information to be provided where personal data have not been obtained from the data subject,0.4291
Ikea Knowledgegraph,2,2. What data is being processed and from which sources do these stem from?,13,Information to be provided where personal data are collected from the data subject,0.3967
Ikea Knowledgegraph,2,2. What data is being processed and from which sources do these stem from?,5,Principles relating to processing of personal data,0.3877
Ikea Knowledgegraph,2,2. What data is being processed and from which sources do these stem from?,15,Right of access by the data subject,0.3767
Ikea Knowledgegraph,2,2. What data is being processed and from which sources do these stem from?,30,Records of processing activities,0.3724
Ikea Knowledgegraph,3,3. For which purpose and for how long is the data being processed?,5,Principles relating to processing of personal data,0.6618
Ikea Knowledgegraph,3,3. For which purpose and for how long is the data being processed?,15,Right of access by the data subject,0.6227
Ikea Knowledgegraph,3,3. For which purpose and for how long is the data being processed?,13,Information to be provided where personal data are collected from the data subject,0.591
Ikea Knowledgegraph,3,3. For which purpose and for how long is the data being processed?,9,Processing of special categories of personal data,0.5846
Ikea Knowledgegraph,3,3. For which purpose and for how long is the data being processed?,14,Information to be provided where personal data have not been obtained from the data subject,0.58
Ikea Knowledgegraph,4,4. On which legal basis is personal data being processed?,7,Conditions for consent,0.7125
Ikea Knowledgegraph,4,4. On which legal basis is personal data being processed?,19,Notification obligation regarding rectification or erasure of personal data or restriction of processing,0.6686
Ikea Knowledgegraph,4,4. On which legal basis is personal data being processed?,14,Information to be provided where personal data have not been obtained from the data subject,0.6196
Ikea Knowledgegraph,4,4. On which legal basis is personal data being processed?,15,Right of access by the data subject,0.6142
Ikea Knowledgegraph,4,4. On which legal basis is personal data being processed?,17,Right to erasure (‘right to be forgotten’),0.6077
Ikea Knowledgegraph,5,5. Who will be receiving your data?,14,Information to be provided where personal data have not been obtained from the data subject,0.5388
Ikea Knowledgegraph,5,5. Who will be receiving your data?,80,Representation of data subjects,0.5138
Ikea Knowledgegraph,5,5. Who will be receiving your data?,46,Transfers subject to appropriate safeguards,0.5127
Ikea Knowledgegraph,5,5. Who will be receiving your data?,30,Records of processing activities,0.4946
Ikea Knowledgegraph,5,5. Who will be receiving your data?,13,Information to be provided where personal data are collected from the data subject,0.4945
Ikea Knowledgegraph,6,6. Are you obliged to provide data?,14,Information to be provided where personal data have not been obtained from the data subject,0.3903
Ikea Knowledgegraph,6,6. Are you obliged to provide data?,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",0.3841
